userID,artistID,weight
2,86,1594.0
2,55,8983.0
2,92,1411.0
2,63,3735.0
2,59,4337.0
2,70,2686.0
2,58,4616.0
2,75,2397.0
2,69,2720.0
2,85,1638.0
2,80,1972.0
2,95,1363.0
2,65,3579.0
2,66,3312.0
2,74,2547.0
2,83,1792.0
2,54,10300.0
2,72,2619.0
2,81,1948.0
2,82,1868.0
2,97,1337.0
2,51,13883.0
2,57,5955.0
2,98,1332.0
2,77,2120.0
2,78,2119.0
2,61,3923.0
2,79,1990.0
2,90,1471.0
2,62,3782.0
2,94,1373.0
2,89,1519.0
2,100,1315.0
2,73,2584.0
2,84,1740.0
2,88,1553.0
2,91,1438.0
2,76,2382.0
2,87,1559.0
2,96,1342.0
2,64,3644.0
3,145,68.0
3,121,111.0
3,106,354.0
3,108,236.0
3,124,99.0
3,133,83.0
3,130,85.0
3,116,154.0
3,137,75.0
3,103,493.0
3,140,71.0
3,123,104.0
3,142,70.0
3,131,84.0
3,141,70.0
3,126,94.0
3,109,215.0
3,136,76.0
3,125,98.0
3,101,13176.0
3,128,89.0
3,110,215.0
3,148,66.0
3,146,67.0
3,118,142.0
3,143,70.0
3,127,89.0
3,115,163.0
3,102,662.0
3,104,431.0
3,138,72.0
3,122,108.0
3,134,77.0
3,139,72.0
3,119,142.0
3,112,193.0
3,147,67.0
3,117,151.0
3,114,167.0
3,111,212.0
3,105,403.0
4,70,389.0
4,189,210.0
4,186,236.0
4,161,632.0
4,169,384.0
4,164,455.0
4,185,240.0
4,165,446.0
4,170,366.0
4,172,309.0
4,190,208.0
4,191,202.0
4,163,465.0
4,167,407.0
4,192,197.0
4,72,4983.0
4,178,279.0
4,162,524.0
4,160,712.0
4,154,826.0
4,65,301.0
4,180,256.0
4,152,1208.0
4,179,264.0
4,77,396.0
4,158,729.0
4,166,445.0
4,193,193.0
4,51,228.0
4,64,420.0
4,187,223.0
4,168,404.0
4,173,292.0
4,188,221.0
4,181,255.0
4,183,253.0
4,176,284.0
4,156,743.0
4,53,686.0
4,174,287.0
4,151,1807.0
5,213,209.0
5,231,134.0
5,190,826.0
5,216,192.0
5,203,287.0
5,220,170.0
5,53,181.0
5,236,127.0
5,233,130.0
5,238,115.0
5,235,129.0
5,230,137.0
5,202,298.0
5,182,222.0
5,212,210.0
5,229,138.0
5,237,118.0
5,209,252.0
5,227,138.0
5,208,255.0
5,197,452.0
5,201,304.0
5,173,241.0
5,218,184.0
5,205,275.0
5,154,884.0
5,215,196.0
5,195,673.0
5,200,337.0
5,222,161.0
5,206,265.0
5,232,133.0
5,219,178.0
5,217,185.0
5,198,451.0
5,224,143.0
5,211,222.0
5,228,138.0
5,226,139.0
5,223,149.0
5,196,620.0
6,264,17.0
6,282,14.0
6,279,14.0
6,244,33.0
6,243,34.0
6,265,17.0
6,261,18.0
6,287,13.0
6,277,14.0
