graph,community_id,node_id,node_type,label
artist_tag_bipartite,1,artist_3571,artist,Digimon
artist_tag_bipartite,1,artist_12388,artist,サンボマスター
artist_tag_bipartite,1,tag_3064,tag,romolo di prisco
artist_tag_bipartite,1,tag_7561,tag,gothic japanese
artist_tag_bipartite,1,tag_11611,tag,avex trax
artist_tag_bipartite,1,tag_5614,tag,seiyuu
artist_tag_bipartite,1,tag_4816,tag,j-cuties
artist_tag_bipartite,1,tag_2467,tag,mysterious
artist_tag_bipartite,1,tag_1111,tag,hai
artist_tag_bipartite,1,tag_4179,tag,bittersweet
artist_tag_bipartite,1,tag_10666,tag,bishoujo senshi sailor moon
artist_tag_bipartite,1,artist_12805,artist,SCREW
artist_tag_bipartite,1,artist_9002,artist,Meg
artist_tag_bipartite,1,tag_3052,tag,bunny
artist_tag_bipartite,1,tag_7633,tag,vinnie vincent invasion
artist_tag_bipartite,1,artist_382,artist,BUCK-TICK
artist_tag_bipartite,1,artist_2497,artist,IOSYS
artist_tag_bipartite,1,tag_603,tag,hardstyle
artist_tag_bipartite,1,tag_3062,tag,madona
artist_tag_bipartite,1,artist_7126,artist,The Seatbelts
artist_tag_bipartite,1,artist_12811,artist,UnsraW
artist_tag_bipartite,1,artist_396,artist,L'Arc~en~Ciel
artist_tag_bipartite,1,artist_5081,artist,AAA
artist_tag_bipartite,1,tag_5060,tag,tekkonkinkreet
artist_tag_bipartite,1,artist_12808,artist,アヲイ
artist_tag_bipartite,1,artist_5110,artist,Dio - Distraught Overlord
artist_tag_bipartite,1,tag_7554,tag,j rock plastic tree
artist_tag_bipartite,1,artist_17676,artist,as.milk
artist_tag_bipartite,1,artist_1865,artist,abingdon boys school
artist_tag_bipartite,1,tag_10642,tag,j-pop japanese pop jpop female vocalists jazz japanese music j-rock
artist_tag_bipartite,1,tag_5185,tag,guitar riffage
artist_tag_bipartite,1,tag_4678,tag,ghost in the shell
artist_tag_bipartite,1,artist_395,artist,NEWS
artist_tag_bipartite,1,tag_5800,tag,shibuya-kei
artist_tag_bipartite,1,tag_5619,tag,para para
artist_tag_bipartite,1,tag_2448,tag,sailor moon
artist_tag_bipartite,1,tag_5183,tag,southern
artist_tag_bipartite,1,artist_5078,artist,ZARD
artist_tag_bipartite,1,tag_6095,tag,oshare kei
artist_tag_bipartite,1,tag_2608,tag,japan
artist_tag_bipartite,1,artist_390,artist,GACKT
artist_tag_bipartite,1,artist_391,artist,Sinamore
artist_tag_bipartite,1,artist_6056,artist,Frank Klepacki
artist_tag_bipartite,1,artist_7258,artist,Ayakashi Japanese Classic Horror
artist_tag_bipartite,1,artist_5563,artist,後藤真希
artist_tag_bipartite,1,artist_12702,artist,LAREINE
artist_tag_bipartite,1,artist_2118,artist,immi
artist_tag_bipartite,1,artist_16167,artist,ケツメイシ
artist_tag_bipartite,1,artist_17656,artist,BAELSCOPE
artist_tag_bipartite,1,artist_17483,artist,sifow
artist_tag_bipartite,1,tag_10649,tag,j-pop japanese jpop pop anime japan hip-hop female vocalists
artist_tag_bipartite,1,artist_12807,artist,少女-ロリヰタ-23区
artist_tag_bipartite,1,artist_1152,artist,Fire Bomber
artist_tag_bipartite,1,tag_5615,tag,j-punk
artist_tag_bipartite,1,artist_15253,artist,Destin Road
artist_tag_bipartite,1,artist_2096,artist,exist†trace
artist_tag_bipartite,1,tag_2662,tag,arashi
artist_tag_bipartite,1,artist_18007,artist,Suemitsu & THE Suemith
artist_tag_bipartite,1,artist_8968,artist,Rebecca
artist_tag_bipartite,1,artist_9103,artist,BeForU
artist_tag_bipartite,1,artist_12796,artist,Dark Schneider
artist_tag_bipartite,1,tag_7572,tag,fg
artist_tag_bipartite,1,artist_5084,artist,清春
artist_tag_bipartite,1,artist_17723,artist,中澤裕子
artist_tag_bipartite,1,artist_754,artist,Maximum the Hormone
artist_tag_bipartite,1,tag_2660,tag,hello project
artist_tag_bipartite,1,tag_1113,tag,utage
artist_tag_bipartite,1,artist_17716,artist,月島きらり starring 久住小春(モーニング娘。)
artist_tag_bipartite,1,tag_8628,tag,neon genesis evangelion
