userID,degree,clustering,pagerank,community,component
2,13,0.192308,0.00058953,6,0
3,7,0.380952,0.00045613,3,0
4,10,0.377778,0.00041377,6,0
5,7,0.047619,0.00040653,14,0
6,5,0.1,0.00028485,14,0
7,18,0.326797,0.00049664,10,0
8,11,0.2,0.00033402,0,0
9,3,0.666667,0.00018441,14,0
10,5,0.2,0.00026765,14,0
11,29,0.091133,0.00077562,10,0
12,40,0.125641,0.00108926,10,0
13,11,0.4,0.00034106,10,0
14,8,0.214286,0.00040074,14,0
15,21,0.071429,0.00101959,14,0
16,24,0.115942,0.00067918,0,0
17,7,0.095238,0.000249,0,0
18,10,0.111111,0.00043011,14,0
20,2,0.0,0.00018618,3,0
21,9,0.138889,0.00028655,0,0
22,15,0.171429,0.00068681,14,0
23,2,0.0,0.00016429,6,0
24,26,0.2,0.00072084,0,0
25,18,0.137255,0.00055553,10,0
26,5,0.1,0.00030344,14,0
27,4,0.333333,0.00021417,14,0
28,1,0.0,0.00012057,14,0
29,1,0.0,0.00011258,1,0
30,17,0.139706,0.0005255,10,0
31,28,0.47619,0.00098024,6,0
32,5,0.4,0.00036021,6,0
33,7,0.190476,0.00064004,9,0
34,1,0.0,0.0001214,14,0
35,1,0.0,0.00015227,18,0
36,3,0.0,0.00022177,1,0
37,7,0.238095,0.00033913,14,0
38,1,0.0,0.0001056,0,0
39,4,0.333333,0.00025687,6,0
40,11,0.381818,0.0005397,6,0
41,2,0.0,0.00020361,14,0
42,2,0.0,0.00027196,0,0
43,26,0.107692,0.00097042,10,0
44,7,0.142857,0.000513,18,0
45,14,0.208791,0.00039046,10,0
46,84,0.133678,0.00204782,10,0
47,23,0.13834,0.00061126,10,0
48,23,0.335968,0.00062244,10,0
49,41,0.113415,0.00113701,0,0
50,8,0.25,0.00037588,14,0
51,35,0.062185,0.00148094,14,0
52,2,0.0,0.0001878,1,0
53,11,0.236364,0.00033892,10,0
54,6,0.6,0.00022723,0,0
55,1,0.0,0.00014341,3,0
56,8,0.107143,0.00043095,14,0
57,27,0.068376,0.0009331,1,0
58,77,0.157211,0.00189481,10,0
59,47,0.06383,0.00189941,14,0
60,3,0.0,0.00022029,14,0
61,2,0.0,0.00014455,0,0
62,18,0.189542,0.00069823,6,0
63,16,0.133333,0.00080622,14,0
64,8,0.142857,0.00036929,6,0
65,5,0.2,0.00037537,2,0
66,9,0.277778,0.00049267,6,0
68,6,0.333333,0.0002166,0,0
69,4,0.0,0.00034238,3,0
70,6,1.0,0.00052854,4,1
71,4,0.166667,0.00046674,14,0
72,4,0.166667,0.00016746,10,0
73,8,0.321429,0.00038926,6,0
74,4,0.0,0.00030081,14,0
75,11,0.127273,0.00033749,0,0
76,4,0.333333,0.00020064,9,0
77,4,0.166667,0.00027053,14,0
78,81,0.021914,0.00523768,3,0
79,46,0.164251,0.00116283,10,0
80,13,0.205128,0.00081988,1,0
81,2,0.0,0.00019457,3,0
82,1,0.0,0.00011954,14,0
83,3,0.666667,0.00031836,5,0
84,4,0.0,0.00038148,14,0
85,13,0.205128,0.00061881,14,0
86,2,0.0,0.00016689,14,0
87,9,0.277778,0.00030399,0,0
88,1,0.0,0.00020667,14,0
89,2,0.0,0.00013015,0,0
90,7,0.047619,0.00032868,14,0
91,4,0.166667,0.00029466,3,0
92,1,0.0,0.00052854,7,7
94,4,0.5,0.00029403,6,0
95,6,0.066667,0.00021337,0,0
96,5,0.5,0.00027944,6,0
97,1,0.0,0.00011121,10,0
98,12,0.181818,0.00035736,10,0
99,39,0.296896,0.00138021,6,0
100,1,0.0,0.00012116,6,0
101,15,0.104762,0.00059616,1,0
102,2,1.0,0.00052854,8,3
103,2,0.0,0.00014585,6,0
104,6,0.066667,0.00025322,0,0
105,4,0.333333,0.00029276,3,0
106,1,0.0,0.00013437,3,0
107,24,0.021739,0.00121585,14,0
108,7,0.285714,0.00038817,14,0
109,11,0.218182,0.00051166,14,0
110,29,0.238916,0.0007458,10,0
111,11,0.327273,0.00078814,27,0
112,5,0.2,0.00034687,6,0
113,5,0.0,0.00030073,14,0
114,11,0.345455,0.00052421,14,0
115,5,0.6,0.00028499,14,0
116,4,0.333333,0.00024115,3,0
117,11,0.236364,0.00055287,6,0
118,3,0.0,0.00028919,2,0
119,5,0.0,0.00037835,14,0
120,45,0.207071,0.00108653,10,0
121,22,0.121212,0.00072065,14,0
122,19,0.111111,0.00090708,14,0
123,1,0.0,0.0001138,14,0
124,22,0.251082,0.00086449,6,0
125,17,0.154412,0.00073398,14,0
126,5,0.3,0.00020484,0,0
127,25,0.096667,0.00107633,14,0
128,31,0.077419,0.00162363,6,0
129,75,0.169009,0.00182469,10,0
130,23,0.237154,0.00059868,10,0
131,2,1.0,0.0001863,14,0
132,32,0.173387,0.00079162,0,0
133,51,0.152941,0.0012907,0,0
134,19,0.181287,0.00049915,0,0
135,8,0.25,0.00039876,6,0
136,52,0.164404,0.00129872,0,0
137,3,0.0,0.00016955,0,0
139,7,0.095238,0.00030211,6,0
140,3,0.333333,0.00024434,6,0
141,3,1.0,0.00020829,6,0
142,49,0.072279,0.00221334,6,0
143,66,0.054079,0.00238335,14,0
144,30,0.266667,0.00075606,10,0
145,41,0.115854,0.0010628,0,0
146,50,0.150204,0.00120645,10,0
147,12,0.242424,0.00044675,0,0
148,1,0.0,0.00029005,11,0
149,14,0.10989,0.00061235,14,0
150,48,0.089539,0.00131775,0,0
151,1,0.0,0.00010252,10,0
152,14,0.065934,0.00050007,0,0
153,3,0.0,0.00027008,1,0
154,3,0.0,0.0002034,14,0
155,2,0.0,0.00017624,6,0
156,1,0.0,0.00017511,14,0
157,29,0.123153,0.00132181,14,0
158,35,0.12437,0.00094257,0,0
159,9,0.166667,0.00028702,10,0
161,10,0.066667,0.00045259,6,0
162,63,0.110087,0.00182747,0,0
163,3,0.333333,0.00017693,14,0
164,3,0.0,0.00023645,14,0
166,1,0.0,0.00052854,12,8
168,3,0.0,0.00025749,3,0
170,11,0.127273,0.0006312,1,0
171,1,0.0,0.00011929,14,0
172,13,0.038462,0.00062813,14,0
173,5,0.2,0.00026686,14,0
174,2,0.0,0.00043354,6,0
175,7,0.190476,0.00030846,14,0
176,1,0.0,0.00012263,6,0
177,14,0.153846,0.00071671,14,0
178,1,0.0,0.00011866,14,0
179,97,0.132088,0.00237687,10,0
180,2,0.0,0.00017492,14,0
181,7,0.52381,0.00052743,3,0
182,2,1.0,0.0003366,13,0
183,23,0.193676,0.0008837,6,0
184,1,0.0,0.00011591,14,0
185,2,1.0,0.00021281,9,0
186,4,0.333333,0.00022907,0,0
187,8,0.321429,0.00044323,6,0
188,2,1.0,0.00017329,14,0
189,1,0.0,0.00011671,6,0
190,2,0.0,0.00015791,3,0
191,9,0.472222,0.00035226,6,0
192,4,1.0,0.0002631,1,0
193,15,0.038095,0.00072866,3,0
194,1,0.0,0.00015073,6,0
195,30,0.050575,0.00136034,14,0
196,8,0.5,0.00038394,6,0
198,56,0.046104,0.00218111,14,0
200,4,0.166667,0.00027159,14,0
201,6,0.0,0.00030718,6,0
202,13,0.076923,0.00059015,14,0
203,9,0.083333,0.00044628,1,0
204,2,0.0,0.00036413,11,0
205,5,0.8,0.00041527,3,0
206,8,0.5,0.00056998,27,0
207,44,0.127907,0.00112472,0,0
208,5,0.6,0.00031796,1,0
209,5,0.4,0.00019818,0,0
210,31,0.352688,0.00107718,6,0
211,41,0.252439,0.00148751,6,0
212,38,0.049787,0.00205965,14,0
213,7,0.0,0.00035314,14,0
214,34,0.221034,0.00088633,10,0
215,13,0.115385,0.00060437,14,0
216,6,0.266667,0.00031272,6,0
217,6,0.266667,0.00033335,14,0
218,6,0.666667,0.00026438,6,0
219,3,0.0,0.00029181,14,0
220,1,0.0,0.00011546,0,0
223,11,0.163636,0.00035007,0,0
224,9,0.25,0.00045073,6,0
225,9,0.111111,0.0005091,1,0
226,27,0.222222,0.00067509,0,0
227,52,0.152338,0.00128218,10,0
228,2,1.0,0.00018981,14,0
229,24,0.141304,0.00072569,10,0
230,13,0.115385,0.00042045,10,0
231,38,0.193457,0.00090895,10,0
232,87,0.143812,0.00214311,10,0
233,18,0.169935,0.00050005,0,0
234,3,0.0,0.00023297,14,0
235,2,0.0,0.00019892,14,0
236,81,0.148765,0.00196002,10,0
237,3,0.0,0.00022326,14,0
